Provinsi,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Kelompok
NUSA TENGGARA TIMUR,"95,94","95,79","95,03","93,89","93,69","94,86","95,61","94,34","93,18","92,52","92,67","93,10","94,22",Nelayan dan Pembudidayaan Ikan
KALIMANTAN BARAT,"100,48","101,13","100,39","100,13","101,19","102,01","103,74","103,18","103,45","103,40","103,75","103,90","102,23",Nelayan dan Pembudidayaan Ikan
KALIMANTAN TENGAH,"102,79","102,71","102,97","101,74","102,19","101,88","101,92","101,02","101,85","101,16","101,43","101,24","101,91",Nelayan dan Pembudidayaan Ikan
KALIMANTAN SELATAN,"102,13","101,99","100,57","98,69","98,94","98,84","100,25","100,37","99,50","99,67","98,47","98,99","99,86",Nelayan dan Pembudidayaan Ikan
KALIMANTAN TIMUR,"103,55","102,83","102,24","103,56","103,59","102,46","102,00","102,79","102,64","102,90","102,33","102,57","102,79",Nelayan dan Pembudidayaan Ikan
KALIMANTAN UTARA,"104,53","103,04","103,52","102,15","101,60","102,58","103,32","103,21","102,53","101,25","102,07","101,58","102,61",Nelayan dan Pembudidayaan Ikan
SULAWESI UTARA,"103,98","101,49","101,15","98,93","99,27","98,79","99,18","101,58","100,75","100,01","100,33","102,84","100,69",Nelayan dan Pembudidayaan Ikan
SULAWESI TENGAH,"97,99","98,55","99,63","97,12","98,27","99,51","99,05","98,49","97,04","96,28","97,66","99,49","98,26",Nelayan dan Pembudidayaan Ikan
SULAWESI SELATAN,"98,55","97,65","96,81","94,56","95,88","96,96","97,57","98,29","98,17","98,07","98,46","99,46","97,54",Nelayan dan Pembudidayaan Ikan
SULAWESI TENGGARA,"97,99","97,51","96,51","95,12","95,82","97,11","98,67","99,21","98,53","98,10","98,74","99,70","97,75",Nelayan dan Pembudidayaan Ikan
GORONTALO,"99,09","98,17","98,89","96,43","97,46","95,86","94,94","95,37","93,90","92,22","90,80","93,35","95,53",Nelayan dan Pembudidayaan Ikan
SULAWESI BARAT,"100,50","99,93","101,19","98,74","99,28","100,14","100,01","97,47","98,17","97,66","97,56","99,56","99,18",Nelayan dan Pembudidayaan Ikan
MALUKU,"104,69","104,70","103,33","101,31","100,18","100,22","100,34","98,72","99,71","99,37","99,64","98,68","100,90",Nelayan dan Pembudidayaan Ikan
MALUKU UTARA,"101,46","100,26","99,03","97,60","96,59","95,27","94,61","95,94","95,84","96,02","96,74","98,58","97,32",Nelayan dan Pembudidayaan Ikan
PAPUA BARAT,"95,71","95,71","96,52","95,73","95,55","96,19","94,72","95,23","96,43","96,87","95,27","94,42","95,70",Nelayan dan Pembudidayaan Ikan
PAPUA,"111,24","109,93","109,21","108,47","108,77","108,48","109,41","110,23","110,62","110,84","111,18","112,16","110,04",Nelayan dan Pembudidayaan Ikan
INDONESIA,"101,31","100,65","100,30","98,70","99,11","99,48","100,17","100,47","100,65","100,89","100,86","101,72","100,35",Nelayan dan Pembudidayaan Ikan
