id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1465981966449201153,1465981966449201153,2021-12-01 16:51:52 WIB,2021-12-01,16:51:52,+0700,1017343763033624576,cakciduk,😏 Homonculus 😏,,Menwa = pp tingkat universitas,in,[],[],[],2,0,0,[],[],https://twitter.com/cakciduk/status/1465981966449201153,False,https://twitter.com/AREAJULID/status/1465630920954683396,0,,,,,,,,[],,,,
1465981215521927171,1465942133626400775,2021-12-01 16:48:53 WIB,2021-12-01,16:48:53,+0700,1966373112,r10_dm,dimaz,,"@kompascom Menwa oh menwa, lagi dan lagi",in,[],[],[],0,0,0,[],[],https://twitter.com/r10_dm/status/1465981215521927171,False,,0,,,,,,,,"[{'screen_name': 'kompascom', 'name': 'Kompas.com', 'id': '23343960'}]",,,,
1465979584436789248,1465966009181818884,2021-12-01 16:42:24 WIB,2021-12-01,16:42:24,+0700,455713262,andrian_koto,Andrian,,@Izjral Oh ya...ya.. baru paham menwa itu yg mana 😅,in,[],[],[],0,0,0,[],[],https://twitter.com/Andrian_koto/status/1465979584436789248,False,,0,,,,,,,,"[{'screen_name': 'Izjral', 'name': 'محمد ازرل  اخیندا™', 'id': '149926870'}]",,,,
1465978904363945986,1465978904363945986,2021-12-01 16:39:42 WIB,2021-12-01,16:39:42,+0700,1349772391,lowongandosen,Lowongan Dosen,,Menwa lagi 🤦‍♂️,in,[],[],[],0,2,0,[],[],https://twitter.com/LowonganDosen/status/1465978904363945986,False,,0,,,,,,,,[],,,,
1465978460950589446,1465630920954683396,2021-12-01 16:37:56 WIB,2021-12-01,16:37:56,+0700,1443108319032274944,hndwskt,Juneca_Lue,,@AREAJULID Saya penasaran mau coba masuk menwa biar nanti kalau ketemu senior atau pembimbing yang hobinya main kekerasan kaya gini bisa saya ajak baku hantam sekalian,in,[],[],[],0,0,0,[],[],https://twitter.com/hndwskt/status/1465978460950589446,False,,0,,,,,,,,"[{'screen_name': 'AREAJULID', 'name': 'AREA JULID', 'id': '928308639315648512'}]",,,,
1465977306879430661,1465977306879430661,2021-12-01 16:33:21 WIB,2021-12-01,16:33:21,+0700,1239431741162418179,burhanchedid,burhan chedid,,ninuninu menwa menungso wagu,in,[],[],[],0,0,0,[],[],https://twitter.com/burhanchedid/status/1465977306879430661,False,https://twitter.com/refaawm/status/1465667665314267138,0,,,,,,,,[],,,,
1465976692241940480,1465976606648770561,2021-12-01 16:30:54 WIB,2021-12-01,16:30:54,+0700,1175566744850579456,deloominatus,big W,,oh menwa sekolahnya kojiro hyuga,in,[],[],[],0,0,0,[],[],https://twitter.com/deloominatus/status/1465976692241940480,False,,0,,,,,,,,[],,,,
1465976648990224390,1465630920954683396,2021-12-01 16:30:44 WIB,2021-12-01,16:30:44,+0700,1213478275072155648,sharctsgurl,SAHARA,,"@AREAJULID Kampus ku gak ada menwa, maaf mau nanya menwa itu biasanya kegaiatan apa ya? Gk pernah ikut apa apa di kampus dan baru masuk juga😭  Btw nitip dagangan aku ya, payment via shopeepay/dana  https://t.co/di5YvyIRMX",in,[],[],['https://pbs.twimg.com/media/FFgx_TRUcAAzp3H.jpg'],0,0,0,[],[],https://twitter.com/sharctsgurl/status/1465976648990224390,False,,1,https://pbs.twimg.com/media/FFgx_TRUcAAzp3H.jpg,,,,,,,"[{'screen_name': 'AREAJULID', 'name': 'AREA JULID', 'id': '928308639315648512'}]",,,,
1465976606648770561,1465976606648770561,2021-12-01 16:30:34 WIB,2021-12-01,16:30:34,+0700,1175566744850579456,deloominatus,big W,,"menwa apaan si? gombalan ya yg ""aku ingin menwa bersamamu""?",in,[],[],[],1,0,0,[],[],https://twitter.com/deloominatus/status/1465976606648770561,False,,0,,,,,,,,[],,,,
1465976509374500867,1465976509374500867,2021-12-01 16:30:11 WIB,2021-12-01,16:30:11,+0700,1329080443983958016,betelgeusahi,dedes || sender tms,,"cw // mention of death  menwa meninggal lagi, yang sekarang UPN jkt, sialan semua dikira kesurupan",in,[],[],[],0,0,1,[],[],https://twitter.com/betelgeusahi/status/1465976509374500867,False,,0,,,,,,,,[],,,,
1465975732031483908,1465975732031483908,2021-12-01 16:27:05 WIB,2021-12-01,16:27:05,+0700,2903730098,moteeehhh,mufti nasution,,baru tau dekan FT baru jg pembina menwa ui.. #justsaying,in,[],[],[],0,0,2,['justsaying'],[],https://twitter.com/moteeehhh/status/1465975732031483908,False,,0,,,,,,,,[],,,,
1465973129742749699,1465618291116810240,2021-12-01 16:16:45 WIB,2021-12-01,16:16:45,+0700,71540930,arrygong,arry gunawan,,@ukmpengamatan MenWa= Menjemput nyaWa 😅,in,[],[],[],1,0,0,[],[],https://twitter.com/ArryGong/status/1465973129742749699,False,,0,,,,,,,,"[{'screen_name': 'ukmpengamatan', 'name': 'metafisikah', 'id': '1223657402802720768'}]",,,,
1465972820786049024,1465972820786049024,2021-12-01 16:15:31 WIB,2021-12-01,16:15:31,+0700,984612852,murianewscom,MURIANEWS,,"INFO JAKARTA Menwa Meninggal saat Pembaretan, Kemendikbud Bereaksi  Selengkapnya Klik Tautan Berikut ini #Jakarta #Reaksi #Kemendikbud #Menwa #Meninggal    https://t.co/O4S5akaDa8",in,[],['https://www.murianews.com/2021/12/01/255827/menwa-meninggal-saat-pembaretan-kemendikbud-bereaksi'],[],0,0,0,"['jakarta', 'reaksi', 'kemendikbud', 'menwa', 'meninggal']",[],https://twitter.com/murianewscom/status/1465972820786049024,False,,0,,,,,,,,[],,,,
1465972474579877891,1465972474579877891,2021-12-01 16:14:09 WIB,2021-12-01,16:14:09,+0700,1227841397325103105,minjmni,bby혜니👸TUNA IS THE BEST🐟,,ini menwa knpa masi ada ajasi udh nelan jiwa jga,in,[],[],[],0,0,0,[],[],https://twitter.com/minjmni/status/1465972474579877891,False,,0,,,,,,,,[],,,,
1465971850387734535,1465971850387734535,2021-12-01 16:11:40 WIB,2021-12-01,16:11:40,+0700,840148969594396674,__ayiii__,Pakai masker mu,,"Ada apa sih dengan menwa?? Ai kamu teh saha, pembaretan jiga lebih ganas ti tentara kitu????",in,[],[],[],0,0,0,[],[],https://twitter.com/__ayiii__/status/1465971850387734535,False,,0,,,,,,,,[],,,,
1465971706674106370,1465971706674106370,2021-12-01 16:11:05 WIB,2021-12-01,16:11:05,+0700,124171593,tribunnews,Tribunnews.com,,"Soal Kasus Mahasiswi UPN Jakarta Meninggal saat Diksar Menwa, Riza Patria hingga DPR Buka Suara    https://t.co/6KXt16suP7",in,[],['https://www.tribunnews.com/metropolitan/2021/12/01/soal-kasus-mahasiswi-upn-jakarta-meninggal-saat-diksar-menwa-riza-patria-hingga-dpr-buka-suara'],[],0,0,1,[],[],https://twitter.com/tribunnews/status/1465971706674106370,False,,0,,,,,,,,[],,,,
1465971704199483395,1465971704199483395,2021-12-01 16:11:05 WIB,2021-12-01,16:11:05,+0700,1444314870711668737,endyasminwe,hxzcvdjn,,Diksar menwa apasih,in,[],[],[],0,0,0,[],[],https://twitter.com/endyasminwe/status/1465971704199483395,False,,0,,,,,,,,[],,,,
1465971648255774720,1465971648255774720,2021-12-01 16:10:52 WIB,2021-12-01,16:10:52,+0700,124171593,tribunnews,Tribunnews.com,,Kata Rektor soal Menwa UPN Jakarta Didesak Bubar hingga Penjelasan Kejadian Menurut Pihak Kampus    https://t.co/qXYDeFj8pd,in,[],['https://www.tribunnews.com/metropolitan/2021/12/01/kata-rektor-soal-menwa-upn-jakarta-didesak-bubar-hingga-penjelasan-kejadian-menurut-pihak-kampus'],[],1,1,0,[],[],https://twitter.com/tribunnews/status/1465971648255774720,False,,0,,,,,,,,[],,,,
1465971052668874756,1465971052668874756,2021-12-01 16:08:30 WIB,2021-12-01,16:08:30,+0700,485434069,sapesih,Farizqy,,Tipes tetep berangkat menwa👌🏼,in,[],[],[],1,0,0,[],[],https://twitter.com/sapesih/status/1465971052668874756,False,https://twitter.com/Mas_hazaq/status/1465965303347630081,0,,,,,,,,[],,,,
1465970644609212425,1465970644609212425,2021-12-01 16:06:52 WIB,2021-12-01,16:06:52,+0700,1193487307241734144,calonmbakguru,Mama Pusing,,"Kaget🤣 tapi kek akhirnya kejawab juga. Aku bilang ke mamaku, ""Ma kenapa ya aku herannya meski ada kasus menwa meninggal gitu dosen-dosenku dalam mengajar gak memberikan belasungkawa atau mbahas isu itu"". Jawaban mamaku ""Hes! Masa dibahas di forum kelas. Bahaya itu namanya.  https://t.co/awFjPkoPI8",in,[],[],['https://pbs.twimg.com/media/FFgshk0VQAIkfac.jpg'],1,0,0,[],[],https://twitter.com/calonmbakguru/status/1465970644609212425,False,,1,https://pbs.twimg.com/media/FFgshk0VQAIkfac.jpg,,,,,,,[],,,,
1465969842314366983,1465630920954683396,2021-12-01 16:03:41 WIB,2021-12-01,16:03:41,+0700,323683730,psisfcofficiai,TreyPSIS,,@AREAJULID Inget! Menwa tidak ada pun ini tidak Tapi selalu mati kenapaa (!?),in,[],[],[],0,0,0,[],[],https://twitter.com/psisfcofficiaI/status/1465969842314366983,False,,0,,,,,,,,"[{'screen_name': 'AREAJULID', 'name': 'AREA JULID', 'id': '928308639315648512'}]",,,,
1465969070990245892,1465630920954683396,2021-12-01 16:00:37 WIB,2021-12-01,16:00:37,+0700,1283276851662602240,naylaazkiaa,Nayla Azkia ⚘⚘⚘,,"@AREAJULID Duh.... Menwa lagi, menwa lagi 🙈🙈🙈",in,[],[],[],0,0,0,[],[],https://twitter.com/NaylaAzkiaa/status/1465969070990245892,False,,0,,,,,,,,"[{'screen_name': 'AREAJULID', 'name': 'AREA JULID', 'id': '928308639315648512'}]",,,,
1465968176940785667,1465630920954683396,2021-12-01 15:57:04 WIB,2021-12-01,15:57:04,+0700,1212984433206120448,yipiwwww,huft,,@AREAJULID menwa = mencabut nyawa,in,[],[],[],0,0,0,[],[],https://twitter.com/yipiwwww/status/1465968176940785667,False,,0,,,,,,,,"[{'screen_name': 'AREAJULID', 'name': 'AREA JULID', 'id': '928308639315648512'}]",,,,
1465966366024863744,1465630920954683396,2021-12-01 15:49:52 WIB,2021-12-01,15:49:52,+0700,1082524187103617024,_necrofolk,deww,,@AREAJULID menwa kontol,ht,[],[],[],0,0,0,[],[],https://twitter.com/_necrofolk/status/1465966366024863744,False,,0,,,,,,,,"[{'screen_name': 'AREAJULID', 'name': 'AREA JULID', 'id': '928308639315648512'}]",,,,
1465966237133901828,1465966237133901828,2021-12-01 15:49:21 WIB,2021-12-01,15:49:21,+0700,817669043792420864,kalderanews,KalderaNews,,"Resimen Mahasiswa (Menwa) Terus Jadi Sorotan, Ternyata Begini Sejarahnya  -  https://t.co/BzosyLHl9X",in,[],['https://www.kalderanews.com/2021/12/resimen-mahasiswa-menwa-terus-jadi-sorotan-ternyata-begini-sejarahnya/'],[],0,0,0,[],[],https://twitter.com/kalderanews/status/1465966237133901828,False,,0,,,,,,,,[],,,,
1465965403247505412,1465630920954683396,2021-12-01 15:46:03 WIB,2021-12-01,15:46:03,+0700,58423000,pupuseptian,Fuaddany Septian,,"@as_confirm @flywithasoka @AREAJULID Nanti klo ada adek lu, keluarga lu, kerabat lu masuk menwa dan mati yg lu salahin orangnya. Salah sendiri mau daftar yah. Wkwkwkwk bloookkk",in,[],[],[],0,0,0,[],[],https://twitter.com/pupuseptian/status/1465965403247505412,False,,0,,,,,,,,"[{'screen_name': 'as_confirm', 'name': '.nissa', 'id': '1265294162129088512'}, {'screen_name': 'flywithasoka', 'name': 'A S O K A', 'id': '1411991026944806917'}, {'screen_name': 'AREAJULID', 'name': 'AREA JULID', 'id': '928308639315648512'}]",,,,
1465965303347630081,1465936147905843204,2021-12-01 15:45:39 WIB,2021-12-01,15:45:39,+0700,1437166376,mas_hazaq,Cah srabutan,,@sapesih Di tumbaske buavita jambu ro pocari ra mas?  Mending rasah menyang menwa sek Niki budhe farizqy tasih mboten penak awakke mekso budhal menwa teng kaliurang,in,[],[],[],0,0,0,[],[],https://twitter.com/Mas_hazaq/status/1465965303347630081,False,,0,,,,,,,,"[{'screen_name': 'sapesih', 'name': 'Farizqy', 'id': '485434069'}]",,,,
1465964587723804673,1465621663840563200,2021-12-01 15:42:48 WIB,2021-12-01,15:42:48,+0700,1312335586091438080,eonestress,BVRVH,,@tubirfess Bayangin nanti anak lu masuk menwa.,in,[],[],[],0,0,0,[],[],https://twitter.com/eonestress/status/1465964587723804673,False,,0,,,,,,,,"[{'screen_name': 'tubirfess', 'name': 'TUBIRFESS | DILARANG JUALAN DI BAWAH TWEET MENFESS', 'id': '865777701671415808'}]",,,,
1465964465996767233,1465964465996767233,2021-12-01 15:42:19 WIB,2021-12-01,15:42:19,+0700,2473921416,jonathansurbak1,jonathan surbakti,,"1 Mahasiswa Tewas, UPN Veteran Jakarta Tegaskan Pembaretan Menwa Tak Berizin  https://t.co/MrgyeW1muM",in,[],['https://spiritriau.com/Hukrim/1-Mahasiswa-Tewas--UPN-Veteran-Jakarta-Tegaskan-Pembaretan-Menwa-Tak-Berizin#.Yac1WxJZirM.twitter'],[],0,0,0,[],[],https://twitter.com/jonathansurbak1/status/1465964465996767233,False,,0,,,,,,,,[],,,,
1465963934238732288,1465963934238732288,2021-12-01 15:40:12 WIB,2021-12-01,15:40:12,+0700,984612852,murianewscom,MURIANEWS,,INFO JAKARTA Dankomnas Menwa: Tak Ada Kekerasan saat Pembaretan di UPNCJ  Selengkapnya Klik Tautan Berikut ini #Jakarta #kegiatan #Menwa #UPNVJ #Kekerasan    https://t.co/1UDdnMBOgP,in,[],['https://www.murianews.com/2021/12/01/255802/dankomnas-menwa-tak-ada-kekerasan-saat-pembaretan-di-upncj'],[],0,0,1,"['jakarta', 'kegiatan', 'menwa', 'upnvj', 'kekerasan']",[],https://twitter.com/murianewscom/status/1465963934238732288,False,,0,,,,,,,,[],,,,
1465963809814679552,1465963809814679552,2021-12-01 15:39:43 WIB,2021-12-01,15:39:43,+0700,984612852,murianewscom,MURIANEWS,,INFO JAKARTA Kegiatan Pembaretan Menwa UPNVJ Tak Berizin  Selengkapnya Klik Tautan Berikut ini #Jakarta #kegiatan #Menwa #UPNVJ    https://t.co/wnSo36C75E,in,[],['https://www.murianews.com/2021/12/01/255791/kegiatan-pembaretan-menwa-upnvj-tak-berizin'],[],0,0,1,"['jakarta', 'kegiatan', 'menwa', 'upnvj']",[],https://twitter.com/murianewscom/status/1465963809814679552,False,,0,,,,,,,,[],,,,
1465962104410804224,1465962104410804224,2021-12-01 15:32:56 WIB,2021-12-01,15:32:56,+0700,1284414133845151745,rsaupwr,rsaupwr,,Dua Anggota Menwa dari Kampus Berbeda Meninggal dalam Kurun 2 Bulan  https://t.co/vzpgaKCQNI,in,[],['https://ift.tt/3xI501y'],[],0,0,0,[],[],https://twitter.com/rsaupwr/status/1465962104410804224,False,,0,,,,,,,,[],,,,
1465961616319647746,1465961616319647746,2021-12-01 15:31:00 WIB,2021-12-01,15:31:00,+0700,55507370,tvonenews,tvOneNews,,"Pembaretan Menwa, Satu Mahasiswa UPN Meninggal. Saksikan beritanya di Kabar Petang Pilihan bersama Seera Safira pukul 16.00 WIB hanya di tvOne &amp; live streaming di  https://t.co/7Gr3a5KWDi #KabarPetangPilihantvOne #CariBeritatvOne  https://t.co/7HvPoayg3o",in,[],['http://linktr.ee/tvonenews'],['https://pbs.twimg.com/media/FFgfuH-VQAIoUhm.jpg'],0,3,1,"['kabarpetangpilihantvone', 'cariberitatvone']",[],https://twitter.com/tvOneNews/status/1465961616319647746,False,,1,https://pbs.twimg.com/media/FFgfuH-VQAIoUhm.jpg,,,,,,,[],,,,
1465960890369384453,1465641219598417924,2021-12-01 15:28:07 WIB,2021-12-01,15:28:07,+0700,1075825889806553089,ardanilp,D A B!,,"@katakatobbs @reza_juldri tob menwa lagi genting tob, jangan lupa sounding",in,[],[],[],1,0,0,[],[],https://twitter.com/Ardanilp/status/1465960890369384453,False,,0,,,,,,,,"[{'screen_name': 'katakatobbs', 'name': 'Dck', 'id': '238110114'}, {'screen_name': 'reza_juldri', 'name': 'RKJ', 'id': '417526778'}]",,,,
