,Tanggal,Keterangan,Harga
3309,11/04/2016,BUYBACK,Rp 521.000
3310,11/04/2016,GOLD,Rp 529.000
3311,08/04/2016,BUYBACK,Rp 520.000
3312,08/04/2016,GOLD,Rp 529.000
3313,07/04/2016,BUYBACK,Rp 516.000
3314,07/04/2016,GOLD,Rp 524.000
3315,06/04/2016,BUYBACK,Rp 517.000
3316,06/04/2016,GOLD,Rp 526.000
3317,05/04/2016,BUYBACK,Rp 510.000
3318,05/04/2016,GOLD,Rp 519.000
3319,01/04/2016,BUYBACK,Rp 515.000
3320,01/04/2016,GOLD,Rp 524.000
3321,31/03/2016,BUYBACK,Rp 513.000
3322,31/03/2016,GOLD,Rp 523.000
3323,30/03/2016,BUYBACK,Rp 522.000
3324,30/03/2016,GOLD,Rp 532.000
3325,29/03/2016,BUYBACK,Rp 514.000
3326,29/03/2016,GOLD,Rp 523.000
3327,28/03/2016,BUYBACK,Rp 511.000
3328,28/03/2016,GOLD,Rp 520.000
3329,24/03/2016,BUYBACK,Rp 510.000
3330,24/03/2016,GOLD,Rp 518.000
3331,22/03/2016,BUYBACK,Rp 517.000
3332,22/03/2016,GOLD,Rp 525.000
3333,21/03/2016,BUYBACK,Rp 518.000
3334,21/03/2016,GOLD,Rp 527.000
3335,18/03/2016,BUYBACK,Rp 520.000
3336,18/03/2016,GOLD,Rp 531.000
3337,17/03/2016,BUYBACK,Rp 518.000
3338,17/03/2016,GOLD,Rp 533.000
3339,16/03/2016,BUYBACK,Rp 510.000
3340,16/03/2016,GOLD,Rp 519.000
3341,15/03/2016,BUYBACK,Rp 510.000
3342,15/03/2016,GOLD,Rp 520.000
3343,14/03/2016,BUYBACK,Rp 517.000
3344,14/03/2016,GOLD,Rp 525.000
3345,11/03/2016,BUYBACK,Rp 520.000
3346,11/03/2016,GOLD,Rp 535.000
3347,10/03/2016,BUYBACK,Rp 519.000
3348,10/03/2016,GOLD,Rp 528.000
3349,08/03/2016,BUYBACK,Rp 520.000
3350,08/03/2016,GOLD,Rp 530.000
3351,07/03/2016,BUYBACK,Rp 525.000
3352,07/03/2016,GOLD,Rp 533.000
3353,04/03/2016,BUYBACK,Rp 525.000
3354,04/03/2016,GOLD,Rp 534.000
3355,03/03/2016,BUYBACK,Rp 521.000
3356,03/03/2016,GOLD,Rp 530.000
3357,02/03/2016,BUYBACK,Rp 520.000
3358,02/03/2016,GOLD,Rp 528.000
3359,01/03/2016,BUYBACK,Rp 522.000
3360,01/03/2016,GOLD,Rp 533.000
3361,29/02/2016,BUYBACK,Rp 516.000
3362,29/02/2016,GOLD,Rp 524.000
3363,26/02/2016,BUYBACK,Rp 523.000
3364,26/02/2016,GOLD,Rp 531.000
3365,25/02/2016,BUYBACK,Rp 517.000
3366,25/02/2016,GOLD,Rp 527.000
3367,24/02/2016,BUYBACK,Rp 516.000
3368,24/02/2016,GOLD,Rp 527.000
3369,23/02/2016,BUYBACK,Rp 510.000
3370,23/02/2016,GOLD,Rp 523.000
3371,22/02/2016,BUYBACK,Rp 517.000
3372,22/02/2016,GOLD,Rp 534.000
3373,19/02/2016,BUYBACK,Rp 515.000
3374,19/02/2016,GOLD,Rp 533.000
3375,18/02/2016,BUYBACK,Rp 508.000
3376,18/02/2016,GOLD,Rp 523.000
3377,17/02/2016,BUYBACK,Rp 501.000
3378,17/02/2016,GOLD,Rp 520.000
3379,16/02/2016,BUYBACK,Rp 505.000
3380,16/02/2016,GOLD,Rp 526.000
3381,15/02/2016,BUYBACK,Rp 514.000
3382,15/02/2016,GOLD,Rp 534.000
3383,12/02/2016,BUYBACK,Rp 510.000
3384,12/02/2016,GOLD,Rp 533.000
3385,11/02/2016,BUYBACK,Rp 505.000
3386,11/02/2016,GOLD,Rp 521.000
3387,10/02/2016,BUYBACK,Rp 510.000
3388,10/02/2016,GOLD,Rp 522.000
3389,05/02/2016,BUYBACK,Rp 499.000
3390,05/02/2016,GOLD,Rp 512.000
3391,04/02/2016,BUYBACK,Rp 498.000
3392,04/02/2016,GOLD,Rp 510.000
3393,03/02/2016,BUYBACK,Rp 492.000
3394,03/02/2016,GOLD,Rp 506.000
3395,02/02/2016,BUYBACK,Rp 491.000
3396,02/02/2016,GOLD,Rp 507.000
3397,01/02/2016,BUYBACK,Rp 492.000
3398,01/02/2016,GOLD,Rp 508.000
3399,29/01/2016,BUYBACK,Rp 494.000
3400,29/01/2016,GOLD,Rp 510.000
3401,28/01/2016,BUYBACK,Rp 497.000
3402,28/01/2016,GOLD,Rp 513.000
3403,27/01/2016,BUYBACK,Rp 496.000
3404,27/01/2016,GOLD,Rp 512.000
3405,26/01/2016,BUYBACK,Rp 491.000
3406,26/01/2016,GOLD,Rp 507.000
3407,25/01/2016,BUYBACK,Rp 487.000
3408,25/01/2016,GOLD,Rp 504.000
3409,22/01/2016,BUYBACK,Rp 489.000
3410,22/01/2016,GOLD,Rp 507.000
3411,21/01/2016,BUYBACK,Rp 489.000
3412,21/01/2016,GOLD,Rp 507.000
3413,20/01/2016,BUYBACK,Rp 486.000
3414,20/01/2016,GOLD,Rp 505.000
3415,19/01/2016,BUYBACK,Rp 486.000
3416,19/01/2016,GOLD,Rp 505.000
