,Tanggal,Keterangan,Harga
1045,22/08/2020,GOLD,Rp 1.027.000
1046,21/08/2020,BUYBACK,Rp 930.000
1047,21/08/2020,GOLD,Rp 1.031.000
1048,20/08/2020,BUYBACK,Rp 928.000
1049,20/08/2020,GOLD,Rp 1.030.000
1050,19/08/2020,BUYBACK,Rp 956.000
1051,19/08/2020,GOLD,Rp 1.058.000
1052,18/08/2020,BUYBACK,Rp 946.000
1053,18/08/2020,GOLD,Rp 1.050.000
1054,17/08/2020,BUYBACK,Rp 924.000
1055,17/08/2020,GOLD,Rp 1.030.000
1056,16/08/2020,BUYBACK,Rp 927.000
1057,16/08/2020,GOLD,Rp 1.035.000
1058,15/08/2020,BUYBACK,Rp 927.000
1059,15/08/2020,GOLD,Rp 1.035.000
1060,14/08/2020,BUYBACK,Rp 930.000
1061,14/08/2020,GOLD,Rp 1.040.000
1062,13/08/2020,BUYBACK,Rp 911.000
1063,13/08/2020,GOLD,Rp 1.028.000
1064,12/08/2020,BUYBACK,Rp 906.000
1065,12/08/2020,GOLD,Rp 1.026.000
1066,11/08/2020,BUYBACK,Rp 954.000
1067,11/08/2020,GOLD,Rp 1.056.000
1068,10/08/2020,BUYBACK,Rp 953.000
1069,10/08/2020,GOLD,Rp 1.054.000
1070,08/08/2020,BUYBACK,Rp 954.000
1071,08/08/2020,GOLD,Rp 1.055.000
1072,07/08/2020,BUYBACK,Rp 964.000
1073,07/08/2020,GOLD,Rp 1.065.000
1074,06/08/2020,BUYBACK,Rp 953.000
1075,06/08/2020,GOLD,Rp 1.054.000
1076,05/08/2020,BUYBACK,Rp 947.000
1077,05/08/2020,GOLD,Rp 1.048.000
1078,04/08/2020,BUYBACK,Rp 929.000
1079,04/08/2020,GOLD,Rp 1.029.000
1080,03/08/2020,BUYBACK,Rp 927.000
1081,03/08/2020,GOLD,Rp 1.028.000
1082,01/08/2020,BUYBACK,Rp 926.000
1083,01/08/2020,GOLD,Rp 1.028.000
1084,30/07/2020,BUYBACK,Rp 913.000
1085,30/07/2020,GOLD,Rp 1.016.000
1086,29/07/2020,BUYBACK,Rp 910.000
1087,29/07/2020,GOLD,Rp 1.013.000
1088,28/07/2020,BUYBACK,Rp 919.000
1089,28/07/2020,GOLD,Rp 1.022.000
1090,28/07/2020,BUYBACK,Rp 910.000
1091,28/07/2020,GOLD,Rp 1.013.000
1092,27/07/2020,BUYBACK,Rp 896.000
1093,27/07/2020,GOLD,Rp 997.000
1094,25/07/2020,BUYBACK,Rp 889.000
1095,25/07/2020,GOLD,Rp 989.000
1096,24/07/2020,BUYBACK,Rp 884.000
1097,24/07/2020,GOLD,Rp 984.000
1098,23/07/2020,BUYBACK,Rp 877.000
1099,23/07/2020,GOLD,Rp 977.000
1100,22/07/2020,BUYBACK,Rp 881.000
1101,22/07/2020,GOLD,Rp 982.000
1102,21/07/2020,BUYBACK,Rp 863.000
1103,21/07/2020,GOLD,Rp 963.000
1104,20/07/2020,BUYBACK,Rp 856.000
1105,20/07/2020,GOLD,Rp 956.000
1106,18/07/2020,BUYBACK,Rp 858.000
1107,18/07/2020,GOLD,Rp 956.000
1108,17/07/2020,BUYBACK,Rp 844.000
1109,17/07/2020,GOLD,Rp 944.000
1110,16/07/2020,BUYBACK,Rp 848.000
1111,16/07/2020,GOLD,Rp 949.000
1112,15/07/2020,BUYBACK,Rp 841.000
1113,15/07/2020,GOLD,Rp 942.000
1114,14/07/2020,BUYBACK,Rp 836.000
1115,14/07/2020,GOLD,Rp 938.000
1116,13/07/2020,BUYBACK,Rp 836.000
1117,13/07/2020,GOLD,Rp 938.000
1118,11/07/2020,BUYBACK,Rp 835.000
1119,11/07/2020,GOLD,Rp 937.000
1120,10/07/2020,BUYBACK,Rp 835.000
1121,10/07/2020,GOLD,Rp 937.000
1122,09/07/2020,BUYBACK,Rp 838.000
1123,09/07/2020,GOLD,Rp 940.000
1124,08/07/2020,BUYBACK,Rp 832.000
1125,08/07/2020,GOLD,Rp 934.000
1126,07/07/2020,BUYBACK,Rp 832.000
1127,07/07/2020,GOLD,Rp 934.000
1128,06/07/2020,BUYBACK,Rp 829.000
1129,06/07/2020,GOLD,Rp 931.000
1130,04/07/2020,BUYBACK,Rp 828.000
1131,04/07/2020,GOLD,Rp 930.000
1132,03/07/2020,BUYBACK,Rp 825.000
1133,03/07/2020,GOLD,Rp 928.000
1134,02/07/2020,BUYBACK,Rp 812.000
1135,02/07/2020,GOLD,Rp 915.000
1136,01/07/2020,BUYBACK,Rp 815.000
1137,01/07/2020,GOLD,Rp 919.000
1138,30/06/2020,BUYBACK,Rp 814.000
1139,30/06/2020,GOLD,Rp 918.000
1140,29/06/2020,BUYBACK,Rp 806.000
1141,29/06/2020,GOLD,Rp 911.000
1142,27/06/2020,BUYBACK,Rp 807.000
1143,27/06/2020,GOLD,Rp 912.000
1144,26/06/2020,BUYBACK,Rp 803.000
1145,26/06/2020,GOLD,Rp 910.000
1146,25/06/2020,BUYBACK,Rp 800.000
1147,25/06/2020,GOLD,Rp 907.000
1148,24/06/2020,BUYBACK,Rp 809.000
1149,24/06/2020,GOLD,Rp 916.000
1150,23/06/2020,BUYBACK,Rp 799.000
1151,23/06/2020,GOLD,Rp 908.000
1152,22/06/2020,BUYBACK,Rp 797.000
1153,22/06/2020,GOLD,Rp 907.000
1154,20/06/2020,BUYBACK,Rp 794.000
1155,20/06/2020,GOLD,Rp 905.000
1156,19/06/2020,BUYBACK,Rp 784.000
1157,19/06/2020,GOLD,Rp 895.000
1158,18/06/2020,BUYBACK,Rp 790.000
1159,18/06/2020,GOLD,Rp 900.000
1160,17/06/2020,BUYBACK,Rp 784.000
1161,17/06/2020,GOLD,Rp 895.000
1162,16/06/2020,BUYBACK,Rp 787.000
1163,16/06/2020,GOLD,Rp 898.000
1164,15/06/2020,BUYBACK,Rp 793.000
1165,15/06/2020,GOLD,Rp 902.000
1166,13/06/2020,BUYBACK,Rp 791.000
1167,13/06/2020,GOLD,Rp 900.000
1168,12/06/2020,BUYBACK,Rp 777.000
1169,12/06/2020,GOLD,Rp 886.000
1170,11/06/2020,BUYBACK,Rp 784.000
1171,11/06/2020,GOLD,Rp 893.000
1172,10/06/2020,BUYBACK,Rp 769.000
1173,10/06/2020,GOLD,Rp 881.000
1174,09/06/2020,BUYBACK,Rp 761.000
1175,09/06/2020,GOLD,Rp 875.000
1176,08/06/2020,BUYBACK,Rp 762.000
