1467309150069669889 2021-12-05 08:45:37 +0700 <hirakousukehara> @txtfromted @sunsantuuuy Ini menwa uns  https://t.co/DAem9kU2dH
1467307625029111810 2021-12-05 08:39:33 +0700 <aldinwidyanto> @anjasbaguss Opo jare pak menwa @VanNovan13
1467302475875053568 2021-12-05 08:19:06 +0700 <sunsantuuuy> @hirakousukehara @safirawwww Bukan menwa uns ya itu?? Kmren berita menwa rame itu poto dia yg dipasang
1467301346260840451 2021-12-05 08:14:36 +0700 <sunsantuuuy> @safirawwww Menwa uns kak... Yg kasus gilang apa siapa itu yg meninggal grgr disiksa itu
1467298441982201857 2021-12-05 08:03:04 +0700 <Firaun_jamannow> @KustiarSandy @Android_AK_47 Menwa sih cuman buat gegayaan, ini doong siap tanggap
1467295948770471938 2021-12-05 07:53:09 +0700 <FatahWidyaP> @B_Alfathony gua masukin menwa lu biar di demo
1467277816957833216 2021-12-05 06:41:06 +0700 <Okaminokiba3154> @R_kive_M menwa :3  aku belum ikut mapala hehe
1467273204154580997 2021-12-05 06:22:47 +0700 <bbbuibui> @minyakangenn ikut menwa ya?
1467271609660502016 2021-12-05 06:16:26 +0700 <KustiarSandy> @Firaun_jamannow @Android_AK_47 Menwa kalah gaya
1467261112303325185 2021-12-05 05:34:44 +0700 <Ridwanputra98> Akhir" ini semakin marak kejadian yg menewaskan korban jiwa, mulai dari kasus bully di KPI, menwa, dan terakhir meninggalnya mhswi malang.   Parahnya lembaga yg berwenang tidak bergerak sebelum "trending di twitter." Cc : @DivHumas_Polri  Evaluasilah sedikit kinerjanya.
1467238361882451974 2021-12-05 04:04:20 +0700 <kencilii> @jnkhalif @A_Adi_Aryadi @__0902RAN @pacarnyaakamu @AREAJULID mawa n menwa
1467190390709100546 2021-12-05 00:53:42 +0700 <probablyyourbf> ganti menwa harusnya
1467188685754048517 2021-12-05 00:46:56 +0700 <menwa_11> مب وقته اصدع😭
1467186445169225738 2021-12-05 00:38:02 +0700 <R00SEVELT_> Petinggi kampus emang bangsat, ada mahasiswinya meninggal gara² Menwa malah sibuk cuci tangan.
1467180761404960770 2021-12-05 00:15:27 +0700 <R_kive_M> @Okaminokiba3154 mapala atau menwa?
1467153545275195393 2021-12-04 22:27:18 +0700 <enrosalynda> Dari cerita tradisi mahapala, menwa, kasus pelecehan seksual yg baru2 ini..  Kaya.... Udah tau salah, bukannya di perbaiki malah di pendam. Ternyata sekarang bukan mati yg menghentikan tindakan seseorang tapi harus viral.  Btw untung doaku di 2015 ga di kabulkan 🙏🏻
1467117104146968581 2021-12-04 20:02:30 +0700 <aslinyacakep> BLACKLIST KAMPUS BOBROK UNSRI MENWA UI  tambahin guys
1467116476557500428 2021-12-04 20:00:00 +0700 <CNNIndonesia> Menwa pertama kali muncul dengan nama Wala, yang dibentuk untuk melibatkan mahasiswa dalam kegiatan bela negara. Namun, seiring berjalannya waktu, Menwa identik dengan kekerasan dan berulang kali diminta untuk ditiadakan. #CNNIndonesia  https://t.co/Kssltd1BHj
1467114658762952707 2021-12-04 19:52:46 +0700 <sometrashhh_> duh ngapain si ngurusin ginian, mending ngurusin menwa, ngurusin pelecehan di univ, duh duh duh bokep aja gercepp herann
1467111694304374788 2021-12-04 19:41:00 +0700 <galenicius> @beautyfyul kamu gak usah ikut ikutan menwa di kampus ya, cukup menwa bersama saya saja
1467107449018753031 2021-12-04 19:24:08 +0700 <menwa_11> حلمت اني تارغيريان🥲
1467106656328683532 2021-12-04 19:20:59 +0700 <thatsmelu_> @silvidwi151 @fghfrs_ Gilak ya menwa kampus kenapa sii
1467104971862994951 2021-12-04 19:14:17 +0700 <Maukerja1> @bagos28299624 @ahmadhusaini10 @convomf Yg kyk gini harus ikut ospek menwa
